beta,delta,mape
0.25,0.25,1.6621651649475098
0.25,0.50,0.7687285542488098
0.25,0.75,3.742919921875
0.25,1.00,7.030740737915039
0.25,1.25,34.92548370361328
0.50,0.25,0.6574504375457764
0.50,0.50,0.11309785395860672
0.50,0.75,0.24744883179664612
0.50,1.00,0.310762494802475
0.50,1.25,0.9417828917503357
0.75,0.25,0.19664230942726135
0.75,0.50,0.06247883662581444
0.75,0.75,0.2684934437274933
0.75,1.00,0.22090262174606323
0.75,1.25,10.254000663757324
1.00,0.25,1.148667335510254
1.00,0.50,0.14233726263046265
1.00,0.75,0.2501834034919739
1.00,1.00,0.31276941299438477
1.00,1.25,0.6948587894439697
1.25,0.25,3.3098678588867188
1.25,0.50,0.5225120782852173
1.25,0.75,0.7559266686439514
1.25,1.00,1.1031265258789062
1.25,1.25,1.953181266784668
0.370,0.370,0.14679528772830963
0.370,0.445,0.05850858986377716
0.370,0.520,0.1279541403055191
0.370,0.595,0.14674462378025055
0.370,0.670,0.24709440767765045
0.370,0.745,0.3612520396709442
0.370,0.820,0.5629139542579651
0.370,0.895,0.8156583905220032
0.370,0.970,1.1605298519134521
0.370,1.045,1.4027715921401978
0.370,1.120,2.327695608139038
0.445,0.370,0.07361781597137451
0.445,0.445,0.11443320661783218
0.445,0.520,0.09846413135528564
0.445,0.595,0.10582378506660461
0.445,0.670,0.17683349549770355
0.445,0.745,0.28429877758026123
0.445,0.820,0.25755950808525085
0.445,0.895,0.34268808364868164
0.445,0.970,0.47605928778648376
0.445,1.045,0.5775054693222046
0.445,1.120,0.7788322567939758
0.520,0.370,0.0623597726225853
0.520,0.445,0.142551451921463
0.520,0.520,0.09770490229129791
0.520,0.595,0.07745115458965302
0.520,0.670,0.10445955395698547
0.520,0.745,0.14412029087543488
0.520,0.820,0.1347733736038208
0.520,0.895,0.1670789122581482
0.520,0.970,0.22828878462314606
0.520,1.045,5.012187480926514
0.520,1.120,5.9631571769714355
0.595,0.370,0.15821051597595215
0.595,0.445,0.10651794075965881
0.595,0.520,0.07719677686691284
0.595,0.595,0.08398760855197906
0.595,0.670,0.051759667694568634
0.595,0.745,0.05850685015320778
0.595,0.820,0.08247578144073486
0.595,0.895,0.10153612494468689
0.595,0.970,4.622488021850586
0.595,1.045,5.439398288726807
0.595,1.120,6.316794395446777
0.670,0.370,0.17099332809448242
0.670,0.445,0.06528910994529724
0.670,0.520,0.050888948142528534
0.670,0.595,0.11074966192245483
0.670,0.670,0.10491878539323807
0.670,0.745,0.14814317226409912
0.670,0.820,0.1840294599533081
0.670,0.895,0.22146335244178772
0.670,0.970,0.15027135610580444
0.670,1.045,5.986732482910156
0.670,1.120,6.949198246002197
0.745,0.370,0.09323600679636002
0.745,0.445,0.08128669112920761
0.745,0.520,0.06028430163860321
0.745,0.595,0.07627217471599579
0.745,0.670,0.24715593457221985
0.745,0.745,0.27340760827064514
0.745,0.820,0.33119508624076843
0.745,0.895,0.26170074939727783
0.745,0.970,0.2310209572315216
0.745,1.045,0.1993645876646042
0.745,1.120,0.2521452307701111
0.820,0.370,0.06148722767829895
0.820,0.445,0.09037549793720245
0.820,0.520,0.08286783844232559
0.820,0.595,0.045533936470746994
0.820,0.670,0.08015994727611542
0.820,0.745,0.13176576793193817
0.820,0.820,0.1832917034626007
0.820,0.895,0.23400843143463135
0.820,0.970,0.26750874519348145
0.820,1.045,0.2680310010910034
0.820,1.120,0.3286876976490021
0.895,0.370,0.19017580151557922
0.895,0.445,0.13893333077430725
0.895,0.520,0.09255662560462952
0.895,0.595,0.08604062348604202
0.895,0.670,0.11611851304769516
0.895,0.745,0.13738343119621277
0.895,0.820,0.1664743721485138
0.895,0.895,0.19241644442081451
0.895,0.970,0.21252423524856567
0.895,1.045,0.2658255994319916
0.895,1.120,0.346614807844162
0.970,0.370,0.35997891426086426
0.970,0.445,0.2063148319721222
0.970,0.520,0.11224210262298584
0.970,0.595,0.12649334967136383
0.970,0.670,0.17285089194774628
0.970,0.745,0.20856711268424988
0.970,0.820,0.2534838914871216
0.970,0.895,0.29075178503990173
0.970,0.970,0.2619938850402832
0.970,1.045,0.32009485363960266
0.970,1.120,0.36984121799468994
1.045,0.370,0.5397270917892456
1.045,0.445,0.2740951180458069
1.045,0.520,0.12175256013870239
1.045,0.595,0.16014647483825684
1.045,0.670,0.23807911574840546
